Deaths , Death Rate  by Residence, Drug Overdoses
		1999	1999	2000	2000	2001	2001	2002	2002	2003	2003	2004	2004	2005	2005	2006	2006	2007	2007	2008	2008	2009	2009	2010	2010	2011	2011	2012	2012	2013	2013	2014	2014	2015	2015	2016	2016	Selected Years Total	Selected Years Total
Webster	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	3 	* 	

Wheeler	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	2 	* 	 	0.0 	 	0.0 	 	0.0 	3 	* 	 	0.0 	7 	5.5 	

White	 	0.0 	1 	* 	 	0.0 	 	0.0 	2 	* 	7 	29.1 	3 	* 	3 	* 	3 	* 	2 	* 	2 	* 	8 	29.4 	5 	18.3 	6 	21.8 	8 	28.8 	7 	25.0 	4 	* 	5 	17.3 	66 	14.5 	

Wilcox	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	2 	* 	1 	* 	 	0.0 	1 	* 	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	3 	* 	10 	6.2 	

Wilkes	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	1 	* 	1 	* 	 	0.0 	1 	* 	1 	* 	1 	* 	1 	* 	 	0.0 	10 	5.3 	

Wilkinson	1 	* 	 	0.0 	2 	* 	3 	* 	1 	* 	1 	* 	1 	* 	2 	* 	2 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	2 	* 	 	0.0 	17 	9.7 	

Worth	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	 	0.0 	4 	* 	2 	* 	2 	* 	 	0.0 	3 	* 	 	0.0 	 	0.0 	 	0.0 	1 	* 	2 	* 	4 	* 	6 	28.9 	26 	6.7 	

Baldwin	 	0.0 	1 	* 	1 	* 	3 	* 	1 	* 	5 	10.9 	4 	* 	3 	* 	1 	* 	5 	10.4 	8 	17.0 	1 	* 	2 	* 	1 	* 	5 	10.9 	5 	10.9 	2 	* 	 	0.0 	48 	5.8 	

Barrow	2 	* 	5 	10.7 	5 	10.4 	2 	* 	8 	15.3 	5 	9.1 	5 	8.6 	9 	14.7 	9 	13.9 	12 	17.8 	9 	13.1 	13 	18.6 	8 	11.4 	10 	14.3 	8 	11.2 	14 	19.1 	9 	11.9 	13 	16.9 	146 	13.0 	

Bartow	2 	* 	10 	13.0 	12 	15.0 	13 	15.6 	4 	* 	14 	15.9 	7 	7.7 	9 	9.7 	8 	8.4 	16 	16.3 	10 	10.0 	23 	23.0 	17 	16.9 	17 	16.9 	13 	12.8 	19 	18.7 	19 	18.5 	21 	20.2 	234 	14.0 	

Bibb	12 	7.8 	9 	5.8 	16 	10.4 	20 	13.0 	14 	9.1 	15 	9.7 	25 	16.2 	8 	5.2 	17 	11.0 	16 	10.4 	16 	10.3 	12 	7.7 	18 	11.5 	10 	6.4 	15 	9.7 	14 	9.1 	15 	9.8 	14 	9.2 	266 	9.6 	

Bulloch	1 	* 	 	0.0 	4 	* 	2 	* 	6 	10.1 	 	0.0 	3 	* 	5 	7.8 	3 	* 	4 	* 	3 	* 	9 	12.7 	3 	* 	6 	8.3 	8 	11.2 	2 	* 	4 	* 	5 	6.7 	68 	5.8 	

Camden	 	0.0 	 	0.0 	 	0.0 	5 	11.0 	4 	* 	 	0.0 	6 	12.9 	1 	* 	4 	* 	1 	* 	8 	16.0 	3 	* 	10 	19.8 	6 	11.7 	4 	* 	4 	* 	9 	17.3 	7 	13.2 	72 	8.3 	

Carroll	4 	* 	3 	* 	11 	12.1 	12 	12.8 	11 	11.3 	18 	18.0 	14 	13.7 	18 	17.0 	24 	22.0 	30 	27.2 	29 	26.3 	22 	19.9 	26 	23.4 	16 	14.3 	15 	13.4 	20 	17.5 	20 	17.5 	28 	24.1 	321 	17.0 	

Catoosa	2 	* 	1 	* 	4 	* 	2 	* 	9 	15.6 	13 	22.1 	2 	* 	2 	* 	1 	* 	17 	26.9 	9 	14.1 	12 	18.8 	10 	15.5 	17 	26.1 	9 	13.8 	15 	22.9 	11 	16.7 	26 	39.2 	162 	14.7 	

Chatham	12 	5.2 	9 	3.9 	20 	8.5 	15 	6.3 	10 	4.2 	25 	10.4 	13 	5.4 	18 	7.3 	25 	9.9 	20 	7.8 	23 	8.8 	27 	10.2 	21 	7.7 	28 	10.1 	31 	11.1 	24 	8.5 	29 	10.1 	35 	12.1 	385 	8.3 	

Cherokee	8 	5.8 	10 	7.0 	4 	* 	12 	7.6 	14 	8.5 	13 	7.5 	15 	8.2 	17 	8.8 	23 	11.4 	18 	8.6 	24 	11.3 	25 	11.6 	24 	11.0 	24 	10.8 	33 	14.7 	42 	18.2 	54 	22.9 	49 	20.3 	409 	11.6 	

Clarke	4 	* 	3 	* 	4 	* 	3 	* 	8 	7.5 	9 	8.2 	7 	6.4 	6 	5.4 	6 	5.3 	8 	6.9 	9 	7.7 	4 	* 	16 	13.6 	12 	10.0 	11 	9.1 	14 	11.6 	12 	9.7 	17 	13.6 	153 	7.5 	

Clayton	11 	4.8 	14 	5.9 	21 	8.6 	25 	10.0 	20 	7.9 	25 	9.8 	21 	8.2 	20 	7.7 	18 	6.9 	18 	6.9 	24 	9.2 	25 	9.6 	21 	8.0 	29 	10.9 	24 	9.1 	23 	8.6 	29 	10.6 	26 	9.3 	394 	8.5 	

Cobb	29 	4.9 	33 	5.4 	38 	6.1 	32 	5.1 	42 	6.6 	46 	7.2 	39 	6.0 	57 	8.6 	44 	6.6 	61 	9.0 	76 	11.1 	61 	8.8 	73 	10.5 	87 	12.3 	101 	14.1 	122 	16.7 	104 	14.0 	124 	16.6 	1,169 	9.7 	

Coffee	1 	* 	2 	* 	3 	* 	3 	* 	2 	* 	2 	* 	3 	* 	1 	* 	5 	12.1 	4 	* 	5 	11.9 	7 	16.5 	10 	23.3 	4 	* 	4 	* 	7 	16.4 	6 	13.9 	7 	16.3 	76 	10.3 	

Colquitt	 	0.0 	2 	* 	5 	11.8 	2 	* 	3 	* 	 	0.0 	4 	* 	2 	* 	1 	* 	6 	13.4 	4 	* 	4 	* 	7 	15.3 	3 	* 	8 	17.3 	4 	* 	3 	* 	1 	* 	59 	7.4 	

Columbia	2 	* 	3 	* 	8 	8.6 	1 	* 	3 	* 	3 	* 	11 	10.3 	10 	9.0 	6 	5.2 	7 	6.0 	10 	8.3 	14 	11.2 	10 	7.8 	14 	10.6 	11 	8.1 	19 	13.6 	19 	13.2 	22 	14.9 	173 	8.3 	

Coweta	5 	5.8 	8 	8.9 	1 	* 	6 	6.2 	4 	* 	11 	10.6 	15 	13.8 	9 	7.9 	12 	10.2 	11 	9.0 	20 	15.9 	8 	6.3 	14 	10.8 	16 	12.2 	12 	9.0 	15 	11.1 	13 	9.4 	17 	12.1 	197 	9.4 	

DeKalb	26 	4.0 	28 	4.2 	44 	6.6 	55 	8.2 	46 	6.9 	37 	5.6 	35 	5.2 	39 	5.8 	43 	6.3 	45 	6.6 	46 	6.7 	45 	6.5 	56 	8.0 	50 	7.1 	43 	6.0 	66 	9.1 	76 	10.3 	76 	10.3 	856 	6.9 	

Dougherty	3 	* 	5 	5.2 	6 	6.3 	5 	5.2 	4 	* 	2 	* 	9 	9.5 	5 	5.3 	8 	8.5 	10 	10.6 	8 	8.4 	1 	* 	6 	6.3 	14 	14.8 	5 	5.4 	2 	* 	5 	5.5 	9 	10.0 	107 	6.3 	

Douglas	2 	* 	7 	7.5 	7 	7.3 	9 	9.1 	10 	9.8 	11 	10.2 	5 	4.4 	14 	11.7 	10 	8.0 	11 	8.5 	9 	6.9 	14 	10.5 	13 	9.7 	12 	9.0 	8 	5.9 	28 	20.2 	17 	12.1 	33 	23.2 	220 	10.2 	

Effingham	 	0.0 	 	0.0 	4 	* 	2 	* 	1 	* 	4 	* 	4 	* 	4 	* 	2 	* 	3 	* 	4 	* 	5 	9.5 	7 	13.3 	4 	* 	7 	12.9 	3 	* 	2 	* 	6 	10.2 	62 	7.1 	

Fayette	2 	* 	3 	* 	3 	* 	5 	5.2 	6 	6.1 	9 	9.1 	7 	6.9 	5 	4.8 	8 	7.6 	7 	6.7 	12 	11.4 	10 	9.4 	11 	10.2 	4 	* 	8 	7.4 	14 	12.8 	17 	15.4 	8 	7.2 	139 	7.5 	

Floyd	7 	7.8 	13 	14.3 	10 	11.0 	11 	11.9 	5 	5.3 	7 	7.4 	19 	20.1 	16 	16.8 	17 	17.8 	16 	16.7 	7 	7.3 	22 	22.9 	17 	17.7 	16 	16.6 	16 	16.7 	11 	11.5 	12 	12.4 	16 	16.6 	238 	14.0 	

Forsyth	5 	5.4 	5 	5.0 	6 	5.5 	6 	5.2 	5 	4.1 	9 	6.9 	5 	3.6 	10 	6.8 	18 	11.5 	18 	10.8 	14 	8.1 	19 	10.8 	29 	15.9 	16 	8.5 	27 	13.8 	33 	16.2 	37 	17.4 	23 	10.4 	285 	10.1 	

Fulton	62 	7.7 	69 	8.5 	99 	12.1 	67 	8.2 	84 	10.3 	80 	9.9 	92 	11.2 	83 	9.8 	105 	12.1 	117 	13.2 	83 	9.2 	107 	11.6 	94 	9.9 	95 	9.7 	118 	12.0 	137 	13.8 	145 	14.3 	172 	16.8 	1,809 	11.3 	

Glynn	5 	7.4 	4 	* 	4 	* 	4 	* 	8 	11.4 	7 	9.8 	6 	8.3 	13 	17.4 	12 	15.7 	14 	17.9 	11 	13.9 	4 	* 	10 	12.4 	10 	12.3 	20 	24.5 	8 	9.7 	11 	13.2 	14 	16.6 	165 	12.1 	

Gordon	6 	13.8 	4 	* 	2 	* 	6 	12.8 	9 	18.7 	7 	14.2 	1 	* 	5 	9.6 	2 	* 	8 	14.7 	11 	20.0 	7 	12.7 	11 	19.8 	9 	16.1 	6 	10.8 	7 	12.5 	3 	* 	11 	19.3 	115 	12.3 	

Gwinnett	12 	2.1 	26 	4.4 	31 	5.0 	27 	4.2 	33 	5.0 	30 	4.4 	30 	4.2 	42 	5.7 	40 	5.2 	48 	6.1 	51 	6.4 	66 	8.2 	49 	5.9 	54 	6.4 	70 	8.1 	67 	7.6 	100 	11.2 	85 	9.4 	861 	6.3 	

Habersham	2 	* 	4 	* 	1 	* 	2 	* 	2 	* 	2 	* 	5 	12.8 	3 	* 	7 	16.7 	5 	11.8 	7 	16.3 	10 	23.2 	 	0.0 	7 	16.1 	4 	* 	2 	* 	2 	* 	8 	18.1 	73 	9.9 	

Hall	4 	* 	8 	5.7 	6 	4.1 	14 	9.3 	10 	6.5 	21 	13.4 	11 	6.8 	20 	12.0 	19 	11.0 	17 	9.6 	21 	11.8 	26 	14.4 	27 	14.7 	23 	12.4 	27 	14.4 	26 	13.6 	24 	12.4 	30 	15.3 	334 	10.9 	

Henry	4 	* 	7 	5.7 	9 	6.9 	8 	5.7 	10 	6.6 	11 	6.9 	8 	4.7 	20 	11.1 	13 	6.9 	22 	11.3 	31 	15.5 	27 	13.2 	33 	15.9 	21 	10.0 	25 	11.8 	30 	14.0 	28 	12.9 	37 	16.7 	344 	10.6 	

Houston	1 	* 	3 	* 	6 	5.3 	7 	6.0 	11 	9.2 	5 	4.0 	3 	* 	6 	4.7 	7 	5.3 	11 	8.2 	9 	6.5 	18 	12.8 	11 	7.6 	11 	7.5 	14 	9.5 	14 	9.4 	15 	10.0 	15 	9.9 	167 	7.0 	

Jackson	1 	* 	2 	* 	4 	* 	5 	11.1 	11 	23.8 	14 	29.0 	3 	* 	10 	18.5 	8 	13.9 	11 	18.5 	14 	23.3 	13 	21.4 	10 	16.3 	11 	18.2 	11 	18.0 	10 	16.2 	18 	28.4 	11 	17.0 	167 	17.0 	

Laurens	5 	11.2 	4 	* 	2 	* 	6 	13.1 	10 	21.6 	4 	* 	9 	19.3 	3 	* 	6 	12.6 	8 	16.6 	7 	14.4 	3 	* 	9 	18.8 	5 	10.4 	4 	* 	4 	* 	5 	10.5 	6 	12.6 	100 	11.8 	

Liberty	1 	* 	1 	* 	2 	* 	2 	* 	1 	* 	6 	9.5 	4 	* 	6 	9.5 	4 	* 	5 	8.0 	6 	8.9 	5 	8.0 	2 	* 	6 	9.2 	6 	9.4 	5 	7.7 	5 	8.0 	4 	* 	71 	6.2 	

Lowndes	1 	* 	1 	* 	3 	* 	5 	5.3 	5 	5.3 	8 	8.3 	3 	* 	3 	* 	3 	* 	4 	* 	6 	5.6 	6 	5.5 	8 	7.2 	7 	6.1 	5 	4.4 	6 	5.3 	6 	5.3 	11 	9.6 	91 	4.9 	

Murray	 	0.0 	2 	* 	5 	13.3 	5 	13.1 	4 	* 	4 	* 	5 	12.6 	7 	17.4 	10 	24.9 	12 	30.1 	7 	17.5 	9 	22.8 	18 	45.5 	10 	25.4 	11 	28.0 	11 	27.9 	9 	22.7 	6 	15.3 	135 	19.2 	

Muscogee	7 	3.8 	9 	4.8 	8 	4.3 	13 	7.0 	20 	11.1 	7 	3.8 	4 	* 	8 	4.2 	13 	7.0 	14 	7.6 	19 	10.1 	25 	13.1 	20 	10.3 	22 	11.1 	16 	7.9 	27 	13.4 	14 	7.0 	17 	8.6 	263 	7.7 	

Newton	1 	* 	1 	* 	7 	10.5 	3 	* 	6 	7.9 	6 	7.4 	8 	9.3 	11 	12.1 	13 	13.6 	3 	* 	14 	14.1 	7 	7.0 	15 	14.9 	9 	8.9 	12 	11.7 	10 	9.6 	11 	10.4 	14 	13.1 	151 	9.4 	

Paulding	5 	6.4 	5 	6.0 	4 	* 	6 	6.3 	7 	7.0 	13 	12.2 	12 	10.6 	19 	15.5 	20 	15.2 	19 	13.9 	25 	17.8 	36 	25.2 	23 	16.0 	26 	18.0 	17 	11.6 	37 	24.8 	26 	17.1 	30 	19.3 	330 	14.8 	

Polk	2 	* 	4 	* 	2 	* 	5 	12.8 	5 	12.7 	9 	22.7 	4 	* 	7 	17.3 	5 	12.3 	7 	16.9 	6 	14.5 	11 	26.5 	9 	21.8 	8 	19.4 	6 	14.6 	6 	14.6 	7 	16.9 	8 	19.1 	111 	15.3 	

Richmond	8 	4.0 	7 	3.5 	7 	3.5 	18 	9.1 	17 	8.6 	15 	7.6 	11 	5.6 	25 	12.7 	19 	9.7 	23 	11.6 	25 	12.6 	34 	16.9 	23 	11.4 	31 	15.3 	22 	10.9 	26 	12.9 	46 	22.8 	49 	24.3 	406 	11.3 	

Rockdale	2 	* 	7 	9.9 	3 	* 	6 	8.2 	13 	17.4 	4 	* 	6 	7.7 	12 	15.0 	10 	12.2 	8 	9.6 	8 	9.5 	9 	10.5 	12 	14.0 	13 	15.1 	12 	13.8 	12 	13.7 	12 	13.5 	19 	21.3 	168 	11.5 	

Spalding	1 	* 	2 	* 	8 	13.6 	2 	* 	4 	* 	11 	18.2 	3 	* 	7 	11.3 	8 	12.8 	9 	14.1 	11 	17.2 	6 	9.4 	8 	12.5 	17 	26.6 	8 	12.5 	9 	14.1 	13 	20.3 	11 	17.0 	138 	12.3 	

Thomas	1 	* 	1 	* 	4 	* 	 	0.0 	1 	* 	3 	* 	 	0.0 	1 	* 	1 	* 	3 	* 	4 	* 	1 	* 	1 	* 	1 	* 	2 	* 	4 	* 	2 	* 	3 	* 	33 	4.2 	

Tift	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	2 	* 	1 	* 	2 	* 	 	0.0 	 	0.0 	 	0.0 	2 	* 	2 	* 	1 	* 	2 	* 	1 	* 	6 	14.7 	6 	14.7 	27 	3.8 	

Troup	 	0.0 	3 	* 	2 	* 	4 	* 	5 	8.2 	6 	9.7 	4 	* 	7 	11.0 	6 	9.2 	2 	* 	7 	10.5 	7 	10.4 	14 	20.7 	9 	13.1 	8 	11.6 	12 	17.3 	13 	18.6 	10 	14.3 	119 	10.2 	

Walker	3 	* 	2 	* 	2 	* 	4 	* 	7 	11.0 	6 	9.3 	13 	20.0 	4 	* 	9 	13.4 	8 	11.7 	10 	14.6 	10 	14.5 	12 	17.4 	10 	14.7 	8 	11.7 	10 	14.7 	8 	11.8 	11 	16.2 	137 	11.5 	

Walton	2 	* 	 	0.0 	6 	9.4 	7 	10.6 	8 	11.7 	4 	* 	6 	8.1 	6 	7.8 	8 	9.9 	10 	12.1 	5 	6.0 	11 	13.1 	6 	7.1 	15 	17.7 	17 	19.8 	15 	17.1 	19 	21.5 	16 	17.7 	161 	11.6 	

Ware	1 	* 	 	0.0 	1 	* 	3 	* 	3 	* 	3 	* 	3 	* 	2 	* 	 	0.0 	10 	27.7 	10 	27.8 	1 	* 	9 	24.7 	2 	* 	3 	* 	16 	45.1 	4 	* 	5 	14.0 	76 	11.8 	

Whitfield	3 	* 	3 	* 	6 	6.9 	7 	8.0 	4 	* 	9 	9.8 	4 	* 	3 	* 	4 	* 	18 	17.9 	11 	10.9 	13 	12.6 	13 	12.6 	14 	13.5 	14 	13.6 	9 	8.7 	12 	11.5 	8 	7.6 	155 	8.9 	

County Summary	325 	4.0 	429 	5.2 	559 	6.7 	611 	7.2 	647 	7.5 	697 	7.9 	682 	7.6 	767 	8.4 	859 	9.2 	956 	10.1 	1,006 	10.5 	1,074 	11.1 	1,070 	10.9 	1,059 	10.7 	1,125 	11.3 	1,274 	12.6 	1,307 	12.8 	1,426 	13.8 	15,873 	9.5 	
Copyright © 2003-2017 Version:1.1 Georgia Department of Public Health, Office of Health Indicators for Planning, all rights reserved. Contact us - ohip@dhr.state.ga.us
